Region/Country/AreaId,Region/Country/Area,Type,Year,Series,Value,,Row Labels,Row Labels,,Sum of Value,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row Labels
1,"Total, all countries or areas",Region,2010,Population mid-year estimates (millions),"6,985.60",,2010,Afghanistan,Country,,2010,,,,,,,2010 Total,2015,,,,,,,,2015 Total,2017,,,,,,,,2017 Total,2020,,,,,,,,2020 Total,2022,,,,,,,2022 Total,(blank),(blank) Total,Grand Total,,Afghanistan
202,Sub-Saharan Africa,Region,2022,Population aged 0 to 14 years old (percentage),41.8,,,Jamaica,Country,Israel,27.8,14.3,338.6,7.33,3.7,3.63,98,493.36,28.1,15.2,370,8.01,4.03,3.98,98.7,22,550.02,,,,,,,,,,28.2,15.9,404.6,8.76,4.39,4.36,99.3,22,587.51,28.1,16.1,417.6,9.04,4.53,4.51,99.5,579.38,,,2210.27,,Jamaica
202,Sub-Saharan Africa,Region,2022,Population aged 60+ years old (percentage),4.8,,,Japan,Country,Italy,14.1,26.7,202.1,59.82,30.87,28.96,93.8,456.35,13.7,28,203.5,60.23,31.02,29.21,94.2,302,761.86,,,,,,,,,,12.9,30,201,59.5,30.51,28.99,95,302,759.9,12.4,31,199.5,59.04,30.25,28.79,95.2,456.18,,,2434.29,,Japan
202,Sub-Saharan Africa,Region,2022,Population density,53.4,,,Jordan,Country,Jamaica,26.6,8.4,252.4,2.73,1.38,1.36,98.3,391.17,23.3,9.4,258,2.79,1.41,1.39,98.6,11,405.89,,,,,,,,,,20.8,11.2,260.4,2.82,1.42,1.4,98.5,11,407.54,19.8,11.9,261.1,2.83,1.43,1.4,98.4,396.86,,,1601.46,,Jordan
14,Eastern Africa,Region,2010,Population mid-year estimates (millions),342.74,,,Kazakhstan,Country,Japan,13.2,31.5,340,128.11,65.69,62.42,95,735.92,12.7,33.9,337.7,127.25,65.32,61.93,94.8,,733.6,,,,,,,,,,11.9,35.4,332.4,125.24,64.36,60.88,94.6,378,1102.78,11.6,35.8,328.9,123.95,63.71,60.24,94.6,718.8,,,3291.1,,Kazakhstan
14,Eastern Africa,Region,2010,Population mid-year estimates for males (millions),169.6,,,Kenya,Country,Jordan,36.6,5.3,78.1,6.93,3.37,3.56,105.9,239.76,35.1,4.9,106.9,9.49,4.55,4.94,108.7,89,363.58,,,,,,,,,,33.1,5.9,123.1,10.93,5.26,5.67,107.9,89,380.86,32.1,6.3,127.1,11.29,5.44,5.85,107.5,295.58,,,1279.78,,Kenya
14,Eastern Africa,Region,2010,Population mid-year estimates for females (millions),173.15,,,Kiribati,Country,Kazakhstan,24.6,10.1,6.2,16.63,8.71,7.92,90.9,165.06,27,11,6.6,17.84,9.31,8.53,91.6,2725,2896.88,,,,,,,,,,29.2,12.4,7,18.98,9.86,9.12,92.5,2725,2904.06,29.7,12.8,7.2,19.4,10.06,9.34,92.8,181.3,,,6147.3,,Kiribati
14,Eastern Africa,Region,2010,Sex ratio (males per 100 females),97.9,,,Kuwait,Country,Kenya,43.3,3.3,71.5,41.52,20.88,20.64,98.9,300.04,41.6,3.8,80.7,46.85,23.58,23.27,98.7,592,910.5,,,,,,,,,,39,4.4,89.5,51.99,26.21,25.78,98.4,592,927.28,37.8,4.6,93,54.03,27.25,26.78,98.3,341.76,,,2479.58,,Kuwait
14,Eastern Africa,Region,2010,Population aged 0 to 14 years old (percentage),45,,,Kyrgyzstan,Country,Kiribati,36.4,5.2,148.8,0.11,0.06,0.05,95.8,286.42,35.6,5.5,160.8,0.12,0.06,0.06,94.9,1,298.04,,,,,,,,,,36.2,5.9,174.2,0.13,0.07,0.06,94.7,1,312.26,36.1,6.3,180.8,0.13,0.07,0.06,95,318.46,,,1215.18,,Kyrgyzstan
14,Eastern Africa,Region,2010,Population aged 60+ years old (percentage),4.1,,,Lao People's Dem. Rep.,Country,Kuwait,23,3.2,165.2,2.94,1.27,1.68,132.2,329.49,21.7,4.6,219.4,3.91,1.57,2.34,149,18,420.52,,,,,,,,,,21,7.6,244.7,4.36,1.69,2.67,158.1,18,458.12,20.7,9.3,239.6,4.27,1.67,2.6,155.2,433.34,,,1641.47,,Lao People's Dem. Rep.
14,Eastern Africa,Region,2010,Population density,51.5,,,Latin America & the Caribbean,Region,Kyrgyzstan,30.7,6.1,28.6,5.48,2.8,2.68,95.6,171.96,32.5,6.4,30.8,5.92,3.02,2.9,96.2,200,377.74,,,,,,,,,,34.4,7.4,33.5,6.42,3.27,3.16,96.5,200,384.65,34.4,7.9,34.6,6.63,3.38,3.26,96.5,186.67,,,1121.02,,Latin America & the Caribbean
